Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Johnathan Abram,S,Mississippi State,1,27,https://www.sports-reference.com/cfb/players/johnathan-abram-1.html,71,205,4.45,,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Paul Adams,OT,Missouri,0,0,https://www.sports-reference.com/cfb/players/paul-adams-3.html,78,317,5.18,16.0,27.0,103.0,7.68,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Azeez Al-Shaair,LB,Florida Atlantic,0,0,https://www.sports-reference.com/cfb/players/azeez-al-shaair-1.html,73,234,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Otaro Alaka,LB,Texas A&M,0,0,https://www.sports-reference.com/cfb/players/otaro-alaka-1.html,75,239,4.82,20.0,36.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Dakota Allen,LB,Texas Tech,7,251,https://www.sports-reference.com/cfb/players/dakota-allen-1.html,73,232,4.77,23.0,31.5,116.0,6.88,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Josh Allen,EDGE,Kentucky,1,7,https://www.sports-reference.com/cfb/players/josh-allen-6.html,77,262,4.63,28.0,,118.0,7.15,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Zach Allen,DL,Boston Col.,3,65,https://www.sports-reference.com/cfb/players/zach-allen-5.html,76,281,5.0,24.0,32.0,112.0,7.34,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Bryson Allen-Williams,LB,South Carolina,0,0,https://www.sports-reference.com/cfb/players/bryson-allen-williams-1.html,73,236,4.88,14.0,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Jeff Allison,LB,Fresno State,0,0,https://www.sports-reference.com/cfb/players/jeffrey-allison-1.html,71,228,4.82,12.0,31.0,115.0,7.2,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Ugo Amadi,S,Oregon,4,132,https://www.sports-reference.com/cfb/players/ugo-amadi-1.html,69,199,4.51,18.0,32.5,115.0,7.21,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Rodney Anderson,RB,Oklahoma,6,211,https://www.sports-reference.com/cfb/players/rodney-anderson-1.html,72,224,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
J.J. Arcega-Whiteside,WR,Stanford,2,57,https://www.sports-reference.com/cfb/players/jj-arcega-whiteside-1.html,74,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Ryquell Armstead,RB,Temple,5,140,https://www.sports-reference.com/cfb/players/ryquell-armstead-1.html,71,220,4.45,22.0,30.0,114.0,7.02,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
